"","city_name","area_title","odc_score","info_lq","home_value","pop_est"
"310",NA,"Punta Gorda, FL MSA",NA,0.49,167300,173115
"311",NA,"Racine, WI MSA",NA,0.33,162000,195080
"312",NA,"Rapid City, SD MSA",NA,0.69,170300,145457
"313",NA,"Reading, PA MSA",NA,0.33,171100,415271
"314",NA,"Redding, CA MSA",NA,0.56,238900,179533
"315",NA,"Reno, NV MSA",NA,0.5,268100,451138
"316",NA,"Riverside-San Bernardino-Ontario, CA MSA",NA,0.43,299300,4489159
"317",NA,"Roanoke, VA MSA",NA,NA,172600,311901
"318",NA,"Rochester, MN MSA",NA,0.89,173700,213873
"319",NA,"Rochester, NY MSA",NA,0.88,138900,1081954
"320",NA,"Rockford, IL MSA",NA,0.51,122700,340663
"321",NA,"Rocky Mount, NC MSA",NA,NA,104700,148069
"322",NA,"Rome, GA MSA",NA,1.04,120600,96504
"323",NA,"Saginaw, MI MSA",NA,0.74,93500,193307
"324",NA,"Salem, OR MSA",NA,0.31,205000,410091
"325",NA,"Salinas, CA MSA",NA,0.36,429100,433898
"326",NA,"Salisbury, MD-DE MSA",NA,0.39,218200,395300
"327",NA,"San Angelo, TX MSA",NA,0.8,124000,120106
"328",NA,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",NA,0.63,508200,281401
"329",NA,"Santa Cruz-Watsonville, CA MSA",NA,0.42,668300,274146
"330",NA,"Santa Fe, NM MSA",NA,0.67,286200,148686
"331",NA,"Santa Maria-Santa Barbara, CA MSA",NA,1.13,547600,444769
"332",NA,"Santa Rosa, CA MSA",NA,0.7,512100,502146
"333",NA,"Scranton--Wilkes-Barre--Hazleton, PA MSA",NA,0.7,132900,558166
"334",NA,"Sebastian-Vero Beach, FL MSA",NA,0.59,174000,147919
"335",NA,"Sebring, FL MSA",NA,0.31,92600,99491
"336",NA,"Sheboygan, WI MSA",NA,0.21,145000,115569
"337",NA,"Sherman-Denison, TX MSA",NA,0.49,112300,125467
"338",NA,"Shreveport-Bossier City, LA MSA",NA,0.58,145300,443708
"339",NA,"Sierra Vista-Douglas, AZ MSA",NA,0.67,146900,126427
"340",NA,"Sioux City, IA-NE-SD MSA",NA,NA,121700,165491
